ticker,index_name,region,country,index_type,year,year_start,year_end,trading_days,annual_return_pct,is_partial_year
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,1997,1997-07-02,1997-12-31,127,-0.4135723061298391,True
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,1998,1998-01-05,1998-12-31,246,-6.044629412644287,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,1999,1999-01-04,1999-12-30,238,21.38540856054332,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2000,2000-01-04,2000-12-29,238,47.43457398760229,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2001,2001-01-02,2001-12-31,240,-21.749692919144326,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2002,2002-01-04,2002-12-31,237,-15.746555952938557,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2003,2003-01-02,2003-12-31,240,13.358316847067385,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2004,2004-01-02,2004-12-31,243,-16.52373973607363,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2005,2005-01-04,2005-12-30,242,-6.575373951273988,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2006,2006-01-04,2006-12-29,241,126.55020456462171,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2007,2007-01-04,2007-12-28,242,93.7447504559007,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2008,2008-01-02,2008-12-31,246,-65.46805812131676,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2009,2009-01-05,2009-12-31,244,74.24954200492316,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2010,2010-01-04,2010-12-31,241,-13.43142230488963,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2011,2011-01-04,2011-12-30,244,-22.899108781023937,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2012,2012-01-04,2012-12-31,243,4.597515525014506,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2013,2013-01-04,2013-12-31,238,-7.071343246742989,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2014,2014-01-02,2014-12-31,244,53.34678078793302,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2015,2015-01-05,2015-12-31,244,5.630854186392242,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2016,2016-01-04,2016-12-30,244,-5.84362906180681,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2017,2017-01-03,2017-12-29,244,5.460954732259116,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2018,2018-01-02,2018-12-28,243,-25.5181230884166,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2019,2019-01-02,2019-12-31,242,23.72267631309375,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2020,2020-01-02,2020-12-31,243,12.57200004653014,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2021,2021-01-04,2021-12-31,243,3.9058995620052217,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2022,2022-01-04,2022-12-30,242,-14.951010967585477,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2023,2023-01-03,2023-12-29,242,-4.542740139715518,False
000001.SS,Shanghai Composite,Asia-Pacific,China,Equity,2024,2024-01-02,2024-06-24,113,0.027790868276733605,True
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,1997,1997-08-22,1997-12-31,91,-1.34887799921245,True
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,1998,1998-01-05,1998-12-31,246,-31.68347621439477,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,1999,1999-01-04,1999-12-30,239,16.67261078697646,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2000,2000-01-04,2000-12-29,239,35.90701676170791,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2001,2001-01-02,2001-12-31,240,-30.68595946641548,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2002,2002-01-04,2002-12-31,237,-15.511281864663074,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2003,2003-01-02,2003-12-31,241,29.385127346202864,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2004,2004-01-02,2004-12-31,243,-12.40194622571924,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2005,2005-01-04,2005-12-30,242,-5.348342333676559,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2006,2006-01-04,2006-12-29,241,125.41847621578728,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2007,2007-01-04,2007-12-28,242,163.97795716683356,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2008,2008-01-02,2008-12-31,246,-63.67912666646176,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2009,2009-01-05,2009-12-31,244,106.48406555259497,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2010,2010-01-04,2010-12-31,242,-7.943156271546137,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2011,2011-01-04,2011-12-30,244,-29.853211198020713,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2012,2012-01-04,2012-12-31,243,4.835449707760864,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2013,2013-01-04,2013-12-31,238,-10.711002003784253,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2014,2014-01-02,2014-12-31,245,35.741810926058434,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2015,2015-01-05,2015-12-31,244,9.932649458120334,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2016,2016-01-04,2016-12-30,244,-12.462544303622025,False
399001.SZ,Shenzhen Component,Asia-Pacific,China,Equity,2017,2017-01-03,2017-12-29,242,7.576848687592297,False
